Subject,Predicate,Object
Assassin's Creed: Lineage(WHO),schema:actor,Romano Orzari
Assassin's Creed: Lineage(WHO),schema:director,Yves Simoneau
Assassin's Creed: Lineage(WHO),schema:ProductionCompany,Hybride Technology
Assassin's Creed: Lineage(WHO),crm:P108_has_produced,Ubisoft
Assassin's Creed: Lineage(WHERE),schema:location,Canada
Assassin's Creed: Lineage(WHEN),schema:datePublished,26/10/2009
Assassin's Creed: Lineage(WHAT),schema:name,Assassin's Creed: Lineage
Assassin's Creed: Lineage(WHAT),schema:genre,Action
Assassin's Creed: Lineage(WHAT),schema:rangeIncludes,TV Mini Series
Assassin's Creed: Lineage(WHAT),schema:contentRating,GB-15
